half_hour_interval,mean_global_load,variance_global_load,std_global_load,min_global_load,max_global_load,n_samples
00:00,0.770902738823,0.0100126893631,0.100063426701,0.517781661181,0.988961764756,248
00:30,0.772321078961,0.00991929006183,0.0995956327448,0.489642170701,0.982779824082,248
01:00,0.776480049025,0.00948185269826,0.097374805254,0.493299209975,0.981224863651,248
01:30,0.773002726689,0.00851038941977,0.0922517719058,0.527857358386,0.992022309548,248
02:00,0.774844504916,0.00806806366268,0.0898224006731,0.535408574667,0.990886492655,248
02:30,0.772237780673,0.0079616832843,0.0892282650526,0.506624597506,0.988140508456,248
03:00,0.779642937432,0.00750639638446,0.0866394620509,0.552025021584,0.984989646333,248
03:30,0.783849818232,0.00741046826114,0.0860840766991,0.533748693932,0.990039710918,248
04:00,0.793191492183,0.00757818223463,0.0870527554684,0.556440959691,0.98324519019,248
04:30,0.798373300708,0.00739525923342,0.0859956931097,0.563444092363,0.98659171872,248
05:00,0.809009385028,0.00658737235859,0.0811626290764,0.591786025361,0.994029669941,248
05:30,0.812523212881,0.00653743091619,0.0808543809338,0.559253991977,0.992661907288,248
06:00,0.816703640262,0.0060260090832,0.0776273732854,0.583396876995,0.996582300333,248
06:30,0.821301153014,0.00608708006567,0.0780197415125,0.60526015229,0.994682246044,248
07:00,0.831652147761,0.00542965189396,0.0736861716604,0.63583724009,0.989852136172,248
07:30,0.834240451614,0.00468668697489,0.0684593819348,0.652573136282,0.992151940043,248
08:00,0.840823843943,0.00453718046831,0.0673585960981,0.660541929896,0.99083519999,248
08:30,0.8425179,0.00454528373117,0.0674187194418,0.629577852031,0.989719250904,248
09:00,0.848026431147,0.00449169296394,0.0670200937327,0.645318832131,0.984900556402,248
09:30,0.849565455781,0.00479956722805,0.0692789089698,0.621204403197,0.985691732386,248
10:00,0.850629646784,0.00503635576564,0.0709672865878,0.656609564986,0.98609598087,248
10:30,0.848330097407,0.00529781220168,0.0727860714813,0.66722229972,0.993343984335,248
11:00,0.850450246576,0.00519269654726,0.0720603673822,0.663225666183,0.9963718494,248
11:30,0.845502765061,0.00603271793024,0.0776705731293,0.608439350471,0.98447846738,248
12:00,0.844816289531,0.00573364949799,0.0757208656712,0.56012102204,0.987295358723,248
12:30,0.835138967968,0.00636704863884,0.0797937882221,0.540789265854,0.992643623165,248
13:00,0.834529798703,0.00614166622349,0.0783687834759,0.488511493784,0.98040631325,248
13:30,0.830212908991,0.00666644215941,0.0816482832606,0.444062049908,0.979747975766,248
14:00,0.828329631274,0.00683936767065,0.0827004695915,0.434348695832,0.983128917603,248
14:30,0.815980672001,0.0074656169405,0.0864038016554,0.423648453623,0.975103525324,248
15:00,0.809964740675,0.00828307657981,0.091011409064,0.429732357174,0.981284909129,248
15:30,0.797644144465,0.00798023229091,0.089332145899,0.506409833833,0.97580560873,248
16:00,0.788631866807,0.00868415164757,0.0931887957191,0.512463878242,0.978762308835,248
16:30,0.786111492569,0.00961608283408,0.0980616277352,0.509077618367,0.973614074078,248
17:00,0.783027937863,0.00973686650165,0.0986755618259,0.505638088429,0.984937082991,248
17:30,0.776584564727,0.0106170875477,0.103039252461,0.464989160724,0.970564041765,248
18:00,0.774941322684,0.0114014873983,0.106777747674,0.481715783709,0.985954664208,248
18:30,0.763095152894,0.0127261604889,0.112810285386,0.450374707807,0.989834128322,248
19:00,0.768632960765,0.0135217087281,0.116282882352,0.432096462973,0.979435688102,248
19:30,0.76330320498,0.0143631435925,0.119846333246,0.445743978563,0.982688477384,248
20:00,0.76553085532,0.0153327768183,0.123825590321,0.40618976097,0.992888192391,248
20:30,0.761580447524,0.0154857820757,0.124441882321,0.411790485295,0.978870438726,248
21:00,0.766122575607,0.0156270146555,0.125008058362,0.424696922601,0.984172112598,248
21:30,0.764973161945,0.0154581776211,0.124330919811,0.401366211645,0.989966788667,248
22:00,0.765872804857,0.013891606729,0.117862660453,0.411550994098,0.992946280797,248
22:30,0.766590419989,0.0122533128192,0.110694682886,0.477641176805,0.98646749602,248
23:00,0.771909650354,0.0110888190267,0.105303461608,0.490747320172,0.988264522192,248
23:30,0.767460661692,0.0108968765709,0.104388105505,0.514272672159,0.984040220864,248
