half_hour_interval,mean,variance,standard_deviation,minimum,maximum
00.00,0.770902738823,0.010540172611,0.102665342794,0.502102535089,0.992149691653
00.30,0.772321078961,0.0103691659827,0.101829101846,0.473935761134,0.991384264475
01.00,0.776480049025,0.00988512659076,0.0994239739236,0.483488588668,0.992114395157
01.30,0.773002726689,0.00890536266421,0.0943682291039,0.50983273518,0.995518670887
02.00,0.774844504916,0.0083754854934,0.091517678584,0.519887175596,0.995046339961
02.30,0.772237780673,0.00827396770056,0.0909613527855,0.491136497037,0.997430723632
03.00,0.779642937432,0.00785171095853,0.0886098807048,0.532095100417,0.989742793531
03.30,0.783849818232,0.0077146830281,0.0878332683446,0.516023474019,0.995205428769
04.00,0.793191492183,0.00795794822021,0.0892073327715,0.534681002413,0.990798931538
04.30,0.798373300708,0.00771983816964,0.0878626096223,0.540740328702,0.992106710316
05.00,0.809009385028,0.00692156326392,0.083195932977,0.572359488203,0.99781251588
05.30,0.812523212881,0.00690518543416,0.0830974454129,0.526758991098,0.995814670779
06.00,0.816703640262,0.00633577381022,0.0795975741478,0.580288465781,1
06.30,0.821301153014,0.00647573057228,0.0804719241244,0.571478106923,0.997120397829
07.00,0.831652147761,0.00578460323034,0.0760565791391,0.609940779654,1
07.30,0.834240451614,0.00501917636685,0.0708461457445,0.608041419884,0.993528878602
08.00,0.840823843943,0.00482936183792,0.069493610051,0.642647238002,0.993255002151
08.30,0.8425179,0.00494082515113,0.0702910033441,0.61720250416,0.998332833372
09.00,0.848026431147,0.00482494452135,0.069461820602,0.635430694063,1
09.30,0.849565455781,0.00521859268696,0.0722398275674,0.58493668763,0.992069008326
10.00,0.850629646784,0.00541410455456,0.0735805990364,0.622982573862,0.997202963869
10.30,0.848330097407,0.00565981013882,0.075231709663,0.6456755542,0.999734340012
11.00,0.850450246576,0.00568043532129,0.0753686627272,0.356634107777,1
11.30,0.845502765061,0.00636769518906,0.0797978395012,0.588608934181,0.997445089841
12.00,0.844816289531,0.00613622291732,0.0783340469867,0.533640433697,1
12.30,0.835138967968,0.00670581069952,0.0818890145228,0.488573804686,0.995325413218
13.00,0.834529798703,0.00647425435997,0.080462751382,0.472459202666,0.99047045166
13.30,0.830212908991,0.00700736250024,0.0837099904446,0.411973477144,0.99548482749
14.00,0.828329631274,0.00720359346558,0.0848739858,0.410763005407,0.996145222392
14.30,0.815980672001,0.00789937488575,0.0888784275612,0.386696011612,0.99751393854
15.00,0.809964740675,0.0087286979055,0.0934275007988,0.409770941319,0.990187683917
15.30,0.797644144465,0.00846147571735,0.0919862800495,0.438949423266,1
16.00,0.788631866807,0.00924656805193,0.0961590768047,0.475381345221,0.981616989339
16.30,0.786111492569,0.0100737652243,0.100368148455,0.477268814538,0.995795965528
17.00,0.783027937863,0.0101164688602,0.10058065848,0.464543425095,1
17.30,0.776584564727,0.0110367473401,0.105055924822,0.445748330429,0.989204165928
18.00,0.774941322684,0.0119956296382,0.109524561803,0.456479877944,0.989370189603
18.30,0.763095152894,0.0131281631941,0.114578196853,0.433444561542,0.99528520388
19.00,0.768632960765,0.0139415121087,0.118074180534,0.402618410022,0.993089223088
19.30,0.76330320498,0.0148183883314,0.121730802722,0.426263505398,0.987477871538
20.00,0.76553085532,0.0157280509226,0.125411526275,0.391822286828,0.993802330201
20.30,0.761580447524,0.0158634274793,0.125950099163,0.394816663839,0.990878716196
21.00,0.766122575607,0.0160162686905,0.126555397714,0.397200036025,0.987628183465
21.30,0.764973161945,0.0159213747824,0.126179930188,0.387595299057,0.994150966636
22.00,0.765872804857,0.0143008869792,0.11958631602,0.395746049142,0.99513334114
22.30,0.766590419989,0.0126939454841,0.112667410923,0.436876934343,0.990479927215
23.00,0.771909650354,0.0114783382638,0.107137006976,0.468500320396,0.990188925438
23.30,0.767460661692,0.0112822894758,0.106218122163,0.496713947756,0.995513127705
